Q41,Q41A1,Q41A2,Q41A3,Q40,Q33,Q42A1,Q42A3,Q42A5,D_IND,D_INDSIZE1,WT,year
2, , , ,1,2,4,4,4,2,22,9.131468998,2020
2, , , ,1,2,4,3,3,2,22,9.280371548,2020
2, , , ,1,2,4,4,3,2,22,9.280371548,2020
2, , , ,1,2,4,3,3,2,22,9.280371548,2020
2, , , ,1,2,4,4,4,2,22,8.108513486,2020
2, , , ,1,2,4,3,3,2,22,9.280371548,2020
2, , , ,1,3,3,3,3,2,22,9.280371548,2020
2, , , ,1,3,4,4,3,2,22,8.108513486,2020
1,0,1,0,1,2,3,2,2,2,22,9.131468998,2020
2, , , ,1,3,3,3,3,2,22,9.280371548,2020
1,1,0,0,1,2,5,4,3,2,22,8.108513486,2020
1,1,0,0,1,1,4,4,3,2,22,9.280371548,2020
2, , , ,1,3,4,3,3,2,22,9.280371548,2020
1,1,0,0,1,2,2,2,4,2,22,8.108513486,2020
2, , , ,1,2,3,3,3,2,22,9.280371548,2020
2, , , ,1,3,4,4,3,2,22,9.280371548,2020
2, , , ,1,2,4,3,2,2,22,9.131468998,2020
2, , , ,1,2,5,3,2,2,22,9.280371548,2020
1,1,0,0,1,2,5,4,5,2,22,9.131468998,2020
2, , , ,1,3,4,4,4,2,22,9.280371548,2020
2, , , ,1,3,4,3,3,2,22,9.280371548,2020
2, , , ,1,3,4,3,3,2,22,9.280371548,2020
1,0,1,0,1,2,2,3,3,2,22,9.131468998,2020
2, , , ,1,3,4,4,3,2,22,9.280371548,2020
2, , , ,1,1,4,4,3,2,22,9.280371548,2020
2, , , ,1,2,4,3,3,2,22,9.280371548,2020
2, , , ,1,2,3,4,3,2,22,9.131468998,2020
2, , , ,1,3,3,3,3,2,22,9.280371548,2020
1,1,0,0,1,2,4,4,4,2,22,9.131468998,2020
2, , , ,1,3,4,4,3,2,22,12.01727693,2020
2, , , ,1,2,3,3,2,2,22,9.280371548,2020
1,1,0,0,1,2,4,3,1,2,22,9.131468998,2020
2, , , ,1,1,3,4,3,2,22,8.108513486,2020
2, , , ,1,2,4,3,3,2,22,9.280371548,2020
1,1,0,0,1,2,4,4,3,2,22,9.131468998,2020
1,1,0,0,1,2,4,5,4,2,22,8.108513486,2020
2, , , ,1,2,4,3,3,2,22,9.280371548,2020
2, , , ,1,2,4,3,3,2,23,2.023886358,2020
2, , , ,1,3,4,4,4,2,23,2.023886358,2020
1,1,0,0,2,1,4,4,5,2,23,1.768324656,2020
1,1,0,0,1,2,4,5,4,2,23,1.768324656,2020
1,1,0,0,1,3,4,3,3,2,23,2.023886358,2020
1,1,0,0,2,2,4,5,4,2,23,1.991413322,2020
2, , , ,1,2,3,3,3,2,23,2.023886358,2020
2, , , ,1,3,4,3,3,2,23,2.023886358,2020
1,0,1,0,1,2,4,5,2,2,23,1.991413322,2020
1,1,0,0,2,2,4,4,3,2,23,1.991413322,2020
1,1,0,0,1,2,4,4,4,2,23,2.023886358,2020
2, , , ,1,2,4,3,3,2,23,2.023886358,2020
1,0,1,0,1,2,3,5,3,2,23,1.991413322,2020
1,0,1,0,1,3,3,3,4,2,23,1.991413322,2020
2, , , ,1,3,4,3,3,2,23,2.023886358,2020
2, , , ,1,3,4,4,4,2,23,2.023886358,2020
1,0,1,0,1,2,4,4,4,2,23,1.991413322,2020
2, , , ,1,3,4,4,4,2,23,2.023886358,2020
1,1,0,0,1,2,4,4,3,2,23,1.991413322,2020
1,1,0,0,3,2,4,4,4,2,23,1.991413322,2020
1,1,0,0,1,2,5,4,4,2,23,1.768324656,2020
1,1,0,0,2,1,5,5,5,2,23,1.768324656,2020
2, , , ,1,3,4,3,3,2,23,2.023886358,2020
1,0,1,0,1,2,3,5,2,2,23,1.991413322,2020
1,1,0,0,1,2,5,4,3,2,23,1.991413322,2020
1,1,0,0,1,1,5,3,4,2,23,2.023886358,2020
1,0,1,0,1,2,2,4,2,2,23,1.991413322,2020
1,1,0,0,1,2,4,5,4,2,23,1.991413322,2020
2, , , ,1,3,4,4,3,2,23,2.023886358,2020
1,0,1,0,1,2,3,2,2,2,23,1.991413322,2020
1,1,0,0,1,1,3,4,4,2,23,2.023886358,2020
2, , , ,1,2,3,3,2,2,23,2.023886358,2020
1,0,1,0,1,2,4,4,4,2,23,1.991413322,2020
1,1,0,0,1,2,4,4,3,2,23,1.991413322,2020
2, , , ,1,3,4,4,4,2,23,2.023886358,2020
1,1,0,0,1,3,4,4,4,2,23,2.023886358,2020
1,0,1,0,1,2,5,5,4,2,23,1.991413322,2020
1,1,1,0,1,2,3,4,4,2,23,1.768324656,2020
1,1,0,0,1,2,5,5,5,2,23,2.023886358,2020
1,0,1,0,1,2,4,5,4,2,23,1.768324656,2020
1,1,0,0,1,2,4,4,3,2,23,2.023886358,2020
1,0,1,0,1,2,3,5,3,2,23,1.991413322,2020
1,0,1,0,1,1,5,4,4,2,23,2.023886358,2020
1,1,0,0,1,2,4,5,4,2,23,2.023886358,2020
1,1,0,0,1,2,4,3,3,2,23,1.991413322,2020
1,1,0,0,1,2,5,5,5,2,23,2.023886358,2020
1,1,0,0,1,2,4,4,3,2,23,2.023886358,2020
1,1,0,0,1,2,5,4,3,2,23,1.768324656,2020
1,1,0,0,1,2,5,5,3,2,23,1.991413322,2020
1,1,0,0,1,2,5,3,3,2,23,2.023886358,2020
1,1,0,0,1,2,4,4,3,2,23,1.991413322,2020
1,1,0,0,1,2,4,3,3,2,23,1.991413322,2020
1,1,0,0,1,2,4,4,4,2,23,2.023886358,2020
1,1,0,0,1,2,4,5,4,2,23,2.023886358,2020
1,1,0,0,1,2,4,3,4,2,23,1.991413322,2020
1,1,1,0,1,2,5,4,4,2,23,1.991413322,2020
1,1,0,0,1,2,4,4,3,2,23,2.023886358,2020
1,1,0,0,1,1,3,2,5,2,23,1.991413322,2020
1,1,0,0,1,2,4,4,4,2,23,2.023886358,2020
2, , , ,1,2,4,3,3,2,23,1.991413322,2020
1,1,0,0,1,1,4,4,4,2,23,2.023886358,2020
1,1,0,0,1,2,5,5,4,2,23,1.991413322,2020
1,1,0,0,1,2,4,4,4,2,23,2.023886358,2020
1,1,0,0,1,1,4,3,4,2,23,1.768324656,2020
1,0,1,0,1,2,4,5,3,2,23,1.991413322,2020
1,1,0,0,2,1,4,4,4,2,23,2.023886358,2020
1,1,0,0,1,1,5,4,5,2,23,2.023886358,2020
1,1,0,0,1,2,5,4,3,2,23,2.023886358,2020
1,1,0,0,1,1,5,5,5,2,23,1.768324656,2020
1,1,0,0,1,2,4,3,4,2,23,1.991413322,2020
1,1,0,0,1,2,4,4,3,2,23,2.023886358,2020
1,1,0,0,1,2,3,4,4,2,23,1.768324656,2020
2, , , ,1,2,4,4,4,2,23,2.023886358,2020
1,1,0,0,1,2,4,5,4,2,23,1.991413322,2020
1,0,0,1,2,1,5,3,4,2,23,1.768324656,2020
1,1,0,0,1,1,4,4,4,2,23,1.534727916,2020
1,1,0,0,1,1,4,4,3,2,23,1.534727916,2020
1,1,0,0,1,1,5,5,4,2,23,1.534727916,2020
1,1,0,0,1,1,5,5,5,2,23,1.534727916,2020
1,1,0,0,1,1,4,4,4,2,23,1.534727916,2020
1,1,0,0,2,1,4,4,4,2,23,1.534727916,2020
1,1,0,0,2,1,4,4,4,2,23,1.534727916,2020
2, , , ,1,1,4,4,3,99,23,1.510103374,2020
1,1,0,0,1,3,3,3,3,2,23,1.534727916,2020
1,1,0,0,1,2,5,5,3,2,23,1.534727916,2020
1,1,0,0,1,1,5,4,3,2,23,1.534727916,2020
1,1,0,0,1,1,4,4,4,2,23,1.534727916,2020
1,1,0,0,1,1,5,3,5,99,23,1.340933598,2020
1,1,0,0,1,1,4,4,4,2,23,1.534727916,2020
1,1,0,0,2,1,4,4,5,2,23,1.534727916,2020
1,1,0,0,2,1,4,4,4,2,23,1.534727916,2020
1,1,0,0,1,1,4,4,4,2,23,1.534727916,2020
1,1,0,0,2,1,5,5,5,2,23,1.534727916,2020
1,0,1,0,1,3,4,3,2,3,31,19.52089454,2020
1,0,1,0,1,3,4,3,3,3,31,19.83921254,2020
1,0,1,0,4,3,4,3,3,3,31,19.83921254,2020
1,0,1,0,1,3,4,3,3,3,31,19.83921254,2020
2, , , ,1,3,4,2,2,3,31,19.52089454,2020
2, , , ,1,2,5,2,2,3,31,19.83921254,2020
1,0,1,0,1,2,4,3,3,3,31,19.52089454,2020
1,0,1,0,1,3,4,3,3,3,31,19.83921254,2020
1,0,1,0,1,3,4,3,3,3,31,19.52089454,2020
2, , , ,1,2,4,3,4,3,31,19.83921254,2020
2, , , ,1,2,5,4,3,3,31,17.33406056,2020
1,0,1,0,1,2,4,4,3,3,31,17.33406056,2020
2, , , ,1,2,3,2,2,3,31,19.52089454,2020
1,0,1,0,1,3,4,4,3,99,32,3.303540417,2020
1,0,1,0,1,3,4,3,3,3,32,3.720309149,2020
1,0,1,0,1,2,4,3,3,3,32,3.720309149,2020
1,0,1,0,1,3,4,3,2,3,32,3.780974472,2020
2, , , ,1,3,3,3,3,3,32,3.720309149,2020
1,0,1,0,1,3,4,3,2,3,32,3.720309149,2020
2, , , ,1,3,2,2,3,3,32,3.780974472,2020
1,0,1,0,4,3,4,4,3,3,32,3.720309149,2020
1,0,1,0,1,3,4,4,3,3,32,3.720309149,2020
1,0,1,0,1,3,4,3,3,3,32,3.780974472,2020
1,1,0,0,1,2,4,4,4,99,32,3.303540417,2020
1,0,1,0,1,1,4,2,4,99,33,0.904833328,2020
1,1,0,0,2,1,4,3,4,99,33,1.035601591,2020
1,0,0,1,1,1,3,3,3,99,33,1.018985477,2020
1,1,0,0,1,1,4,3,2,99,33,1.010579287,2020
1,1,0,0,2,1,4,3,4,99,33,1.027058326,2020
1,1,0,0,2,1,5,5,5,99,33,0.897368844,2020
1,0,1,0,1,3,4,3,2,4,41,37.43302864,2020
1,0,1,0,1,2,4,4,2,4,41,37.43302864,2020
1,0,1,0,1,3,4,4,3,4,41,37.43302864,2020
1,0,1,0,1,2,4,4,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,4,3,4,41,33.23958255,2020
1,0,1,0,1,3,4,4,2,4,41,38.04343135,2020
1,0,1,0,1,2,4,4,2,4,41,38.04343135,2020
1,0,1,0,1,3,4,4,3,4,41,38.04343135,2020
1,0,1,0,1,3,4,4,3,4,41,38.04343135,2020
1,0,1,0,1,2,4,3,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,3,2,4,41,37.43302864,2020
2, , , ,1,3,3,2,2,4,41,37.43302864,2020
1,0,1,0,1,3,4,3,3,4,41,38.04343135,2020
1,0,1,0,1,3,4,4,2,4,41,38.04343135,2020
2, , , ,1,3,3,3,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,4,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,4,3,4,41,38.04343135,2020
2, , , ,1,2,4,5,2,4,41,38.04343135,2020
1,0,1,0,1,2,4,3,3,99,41,49.26294682,2020
1,0,1,0,1,2,4,3,3,4,41,38.04343135,2020
2, , , ,1,2,3,3,3,4,41,33.23958255,2020
2, , , ,1,2,3,3,2,4,41,37.43302864,2020
1,0,1,0,1,2,4,4,3,4,41,38.04343135,2020
1,0,1,0,1,3,4,3,2,4,41,37.43302864,2020
2, , , ,1,3,4,4,3,4,41,38.04343135,2020
1,0,1,0,1,2,4,4,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,3,3,4,41,38.04343135,2020
2, , , ,1,3,4,3,2,4,41,37.43302864,2020
2, , , ,1,3,4,4,3,4,41,38.04343135,2020
1,0,1,0,1,3,4,4,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,3,3,4,41,33.23958255,2020
1,1,0,0,1,3,4,3,3,4,41,38.04343135,2020
2, , , ,1,3,4,3,3,4,41,37.43302864,2020
2, , , ,1,3,4,3,2,4,41,38.04343135,2020
1,0,1,0,1,3,4,4,4,4,41,37.43302864,2020
2, , , ,1,3,4,4,2,4,41,38.04343135,2020
1,0,1,0,1,3,4,4,3,4,41,33.23958255,2020
1,0,1,0,1,3,4,4,3,4,41,37.43302864,2020
1,0,1,0,1,3,3,3,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,4,3,4,41,33.23958255,2020
1,0,1,0,1,2,4,3,2,4,41,37.43302864,2020
2, , , ,1,3,5,4,4,4,41,37.43302864,2020
1,0,1,0,1,3,4,3,2,4,41,38.04343135,2020
1,0,1,0,1,3,4,4,3,4,41,37.43302864,2020
1,0,1,0,1,2,4,3,3,4,41,38.04343135,2020
1,0,1,0,1,3,3,3,3,4,41,37.43302864,2020
1,0,1,0,1,3,4,4,2,4,42,7.263913131,2020
1,0,1,0,1,2,4,3,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,3,4,42,7.38236233,2020
1,0,1,0,1,3,4,3,3,4,42,7.263913131,2020
1,0,1,0,1,2,4,3,3,4,42,6.450171117,2020
1,0,1,0,1,3,4,3,2,4,42,6.450171117,2020
1,0,1,0,1,3,4,4,3,4,42,7.263913131,2020
2, , , ,1,2,2,4,3,4,42,7.38236233,2020
1,0,1,0,1,2,4,3,2,4,42,6.450171117,2020
1,0,1,0,1,2,4,4,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,3,4,42,7.38236233,2020
1,0,1,0,1,3,4,3,2,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,3,4,42,6.450171117,2020
1,0,1,0,1,2,4,3,2,4,42,7.38236233,2020
1,0,1,0,1,3,4,3,2,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,2,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,3,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,3,3,4,42,7.263913131,2020
2, , , ,1,2,4,4,3,4,42,7.38236233,2020
1,0,1,0,1,3,4,3,3,4,42,7.38236233,2020
1,0,1,0,1,3,4,3,2,4,42,7.263913131,2020
1,0,1,0,1,3,4,3,2,4,42,6.450171117,2020
2, , , ,1,2,4,3,3,4,42,7.263913131,2020
2, , , ,1,2,4,3,3,4,42,7.38236233,2020
2, , , ,1,2,4,3,2,4,42,6.450171117,2020
1,0,1,0,1,3,4,4,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,4,3,4,42,7.263913131,2020
2, , , ,1,2,4,3,3,4,42,6.450171117,2020
2, , , ,1,2,3,2,2,4,42,7.263913131,2020
1,0,1,0,1,2,4,3,3,4,42,7.38236233,2020
2, , , ,1,3,3,3,3,4,42,7.263913131,2020
2, , , ,1,3,4,3,3,99,42,9.559519475,2020
1,0,1,0,1,2,4,3,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,3,3,4,42,7.263913131,2020
1,0,1,0,1,2,4,3,3,4,42,6.450171117,2020
1,0,1,0,1,3,4,3,3,4,42,6.450171117,2020
1,0,1,0,1,3,4,4,3,4,42,6.450171117,2020
1,0,1,0,1,3,4,3,2,4,42,7.263913131,2020
1,0,1,0,1,3,4,3,3,4,42,7.263913131,2020
1,0,1,0,1,3,4,3,3,4,42,7.263913131,2020
1,1,0,0,1,3,4,4,3,4,42,6.450171117,2020
1,0,1,0,1,2,4,3,3,4,42,6.450171117,2020
1,0,1,0,1,3,4,4,3,4,42,7.263913131,2020
1,0,0,1,1,2,4,5,5,4,43,1.809348776,2020
2, , , ,1,2,4,4,4,4,43,1.606655944,2020
2, , , ,1,2,4,4,2,4,43,1.809348776,2020
1,0,1,0,1,3,4,3,3,4,43,1.606655944,2020
1,0,1,0,1,3,4,4,2,4,43,1.809348776,2020
2, , , ,1,2,3,4,3,4,43,1.838852971,2020
2, , , ,1,2,5,4,3,4,43,1.606655944,2020
1,0,1,0,1,3,4,3,3,4,43,1.809348776,2020
1,0,0,1,1,2,3,3,2,4,43,1.809348776,2020
1,0,1,0,1,3,4,4,3,4,43,1.838852971,2020
1,0,1,0,1,3,4,3,2,4,43,1.809348776,2020
1,0,1,0,1,3,4,3,3,4,43,1.809348776,2020
1,1,0,0,1,2,3,3,3,4,43,1.809348776,2020
1,0,1,0,1,3,4,3,3,4,43,1.809348776,2020
2, , , ,1,2,3,4,2,4,43,1.809348776,2020
2, , , ,1,3,4,4,4,4,43,1.606655944,2020
1,0,1,0,1,3,4,3,3,4,43,1.606655944,2020
1,0,1,0,1,3,4,4,3,4,43,1.809348776,2020
1,0,1,0,1,3,4,3,2,4,43,1.606655944,2020
1,0,1,0,1,3,4,3,3,4,43,1.606655944,2020
2, , , ,1,2,3,3,3,4,43,1.809348776,2020
1,1,0,0,1,2,4,3,3,4,43,1.809348776,2020
1,0,1,0,1,3,4,3,3,4,43,1.809348776,2020
1,0,1,0,1,2,4,4,3,4,43,1.809348776,2020
1,0,1,0,1,3,4,3,3,4,43,1.606655944,2020
1,0,1,0,1,3,4,4,3,4,43,1.606655944,2020
1,0,1,0,1,3,4,4,3,4,43,1.606655944,2020
1,0,1,0,1,2,5,5,4,4,43,1.809348776,2020
1,1,0,0,1,3,4,4,4,4,43,1.200956822,2020
1,0,1,0,1,2,5,4,3,4,43,1.066419279,2020
1,1,0,0,1,3,4,4,3,4,43,1.200956822,2020
2, , , ,1,1,3,4,4,4,43,1.066419279,2020
1,0,0,1,1,2,5,4,3,99,43,1.220540257,2020
1,0,1,0,1,2,4,4,2,4,43,1.066419279,2020
2, , , ,1,1,4,4,4,4,43,1.200956822,2020
1,0,0,1,1,2,3,2,3,5,51,40.05678639,2020
2, , , ,1,2,3,2,4,5,51,40.05678639,2020
2, , , ,1,2,4,3,3,5,51,40.05678639,2020
2, , , ,1,2,5,4,3,5,51,35.56941306,2020
2, , , ,1,2,5,4,3,5,51,40.70997348,2020
1,0,0,1,1,2,4,2,4,5,51,51.87006713,2020
2, , , ,1,2,3,5,2,5,51,40.70997348,2020
2, , , ,1,2,3,4,1,5,51,40.05678639,2020
2, , , ,1,2,3,3,1,5,51,35.56941306,2020
2, , , ,1,2,4,3,1,5,51,40.05678639,2020
2, , , ,1,2,3,3,2,5,51,40.05678639,2020
2, , , ,1,2,2,4,2,5,51,40.05678639,2020
2, , , ,1,2,2,2,2,5,51,40.70997348,2020
2, , , ,1,2,4,4,4,5,51,40.70997348,2020
2, , , ,1,2,2,3,3,5,51,40.05678639,2020
2, , , ,1,2,4,4,3,5,51,40.05678639,2020
2, , , ,1,2,2,4,3,5,51,35.56941306,2020
1,0,0,1,1,2,3,2,1,5,51,51.87006713,2020
1,0,0,1,1,2,5,5,2,5,51,52.7158878,2020
2, , , ,1,2,3,3,2,5,51,40.05678639,2020
2, , , ,1,2,3,2,2,5,51,40.70997348,2020
2, , , ,1,2,3,3,2,5,51,40.05678639,2020
2, , , ,1,2,4,5,2,5,51,40.70997348,2020
2, , , ,1,2,5,4,3,5,51,52.7158878,2020
1,0,0,1,1,2,3,4,3,5,51,40.05678639,2020
2, , , ,1,3,3,2,2,5,51,46.05930753,2020
2, , , ,1,2,3,2,2,5,51,40.05678639,2020
2, , , ,1,2,4,2,3,5,51,40.05678639,2020
2, , , ,1,2,5,3,4,5,51,46.05930753,2020
2, , , ,1,3,3,3,2,5,51,40.05678639,2020
1,0,1,0,1,2,4,3,4,5,51,40.70997348,2020
2, , , ,1,2,4,3,2,5,51,40.70997348,2020
2, , , ,1,2,4,3,3,5,51,35.56941306,2020
2, , , ,1,2,4,3,2,5,51,40.05678639,2020
2, , , ,1,2,4,2,2,5,51,40.70997348,2020
2, , , ,1,2,3,2,3,5,51,35.56941306,2020
2, , , ,1,2,3,3,3,5,51,40.05678639,2020
2, , , ,1,2,4,3,2,5,51,35.56941306,2020
2, , , ,1,2,4,3,5,5,52,7.246241058,2020
2, , , ,1,2,4,3,2,99,52,9.536262517,2020
2, , , ,1,3,4,4,4,99,52,6.434478763,2020
1,0,0,1,1,2,4,5,3,5,52,7.246241058,2020
2, , , ,1,1,5,4,4,5,52,7.246241058,2020
2, , , ,1,2,4,3,2,5,52,7.246241058,2020
2, , , ,1,2,3,4,2,5,52,7.364402087,2020
2, , , ,1,2,5,4,3,5,52,7.364402087,2020
1,0,0,1,1,2,4,4,4,5,52,7.364402087,2020
1,0,0,1,1,2,4,4,5,5,52,7.364402087,2020
2, , , ,1,3,3,3,3,5,52,7.246241058,2020
1,0,0,1,1,2,4,5,2,5,52,7.364402087,2020
1,1,0,0,1,2,4,4,4,5,53,1.896302324,2020
1,0,0,1,1,2,4,2,2,5,53,1.896302324,2020
1,0,0,1,1,2,5,3,4,5,53,1.896302324,2020
1,0,0,1,1,2,5,4,2,5,53,1.896302324,2020
1,1,0,0,1,2,4,3,4,5,53,1.896302324,2020
1,1,0,0,1,1,4,3,3,99,53,1.767395292,2020
1,1,0,0,1,3,4,3,3,99,53,1.767395292,2020
2, , , ,1,2,4,5,4,6,61,26.22633103,2020
2, , , ,1,2,4,4,4,6,61,26.22633103,2020
2, , , ,1,2,4,4,3,6,61,26.65399142,2020
2, , , ,1,2,3,2,2,6,61,26.22633103,2020
1,0,1,0,1,2,5,4,4,6,61,26.22633103,2020
2, , , ,1,2,4,3,4,6,61,26.65399142,2020
2, , , ,1,2,2,3,3,6,61,26.22633103,2020
1,1,0,0,1,2,4,4,4,6,61,26.65399142,2020
2, , , ,1,2,4,4,3,6,61,23.28831855,2020
2, , , ,1,2,4,4,4,6,61,26.22633103,2020
2, , , ,1,2,4,5,3,6,61,23.28831855,2020
1,0,1,0,1,2,4,2,3,6,61,26.22633103,2020
1,0,1,0,1,2,4,5,4,6,61,26.22633103,2020
1,0,1,0,1,2,4,3,3,6,61,23.28831855,2020
1,0,1,0,1,2,3,4,4,6,61,26.65399142,2020
1,0,1,0,1,2,4,4,3,6,61,26.22633103,2020
2, , , ,1,2,4,3,2,6,61,23.28831855,2020
2, , , ,1,2,3,4,3,6,61,26.22633103,2020
2, , , ,1,2,4,2,1,6,61,23.28831855,2020
2, , , ,1,3,4,4,4,6,61,26.22633103,2020
2, , , ,1,3,4,4,4,6,61,26.65399142,2020
2, , , ,1,3,4,4,3,6,61,26.22633103,2020
2, , , ,1,3,4,3,2,6,61,23.28831855,2020
2, , , ,1,2,4,4,3,6,61,26.65399142,2020
2, , , ,1,3,4,4,3,6,61,23.28831855,2020
2, , , ,1,3,4,4,3,6,62,6.680322573,2020
2, , , ,1,2,4,4,2,6,62,5.931957464,2020
2, , , ,1,3,3,3,3,6,62,6.680322573,2020
1,0,1,0,1,2,5,3,4,6,62,6.789255437,2020
2, , , ,1,3,3,3,2,6,62,6.680322573,2020
2, , , ,1,2,4,4,1,6,62,5.931957464,2020
1,0,1,0,1,2,4,3,3,6,62,6.789255437,2020
2, , , ,1,3,3,3,3,6,62,6.680322573,2020
1,1,0,0,1,1,5,4,3,6,62,6.680322573,2020
2, , , ,1,3,4,3,3,6,62,6.789255437,2020
2, , , ,1,3,4,4,3,6,62,6.680322573,2020
1,0,1,0,1,2,5,5,4,6,62,6.680322573,2020
1,0,1,0,1,3,4,4,5,6,62,5.931957464,2020
1,0,1,0,1,2,4,3,4,6,62,6.680322573,2020
1,0,1,0,1,2,3,3,1,6,62,6.680322573,2020
1,0,1,0,1,3,4,3,4,6,62,6.680322573,2020
1,0,1,0,1,2,3,3,3,6,62,6.789255437,2020
1,0,1,0,1,2,2,2,2,6,62,6.789255437,2020
1,0,1,0,1,2,4,2,1,6,62,6.680322573,2020
1,0,1,0,1,2,4,3,1,6,62,6.680322573,2020
2, , , ,1,2,3,3,3,6,62,6.680322573,2020
1,0,1,0,1,2,4,4,2,6,62,6.789255437,2020
1,0,1,0,1,2,3,4,2,6,62,6.789255437,2020
1,0,1,0,1,2,4,5,4,6,62,6.680322573,2020
2, , , ,1,3,4,4,4,6,62,6.680322573,2020
1,0,1,0,1,3,3,4,2,6,62,6.680322573,2020
2, , , ,1,2,5,4,4,6,62,6.680322573,2020
1,0,1,0,1,2,3,2,3,6,62,6.789255437,2020
2, , , ,2,2,4,4,5,6,62,6.680322573,2020
1,0,0,1,1,2,5,3,4,6,62,6.680322573,2020
1,0,1,0,1,2,4,4,2,6,62,6.789255437,2020
2, , , ,1,2,4,3,4,6,62,6.680322573,2020
1,0,1,0,1,2,3,4,2,6,62,6.789255437,2020
1,0,1,0,1,2,3,4,3,6,62,6.789255437,2020
2, , , ,1,3,3,4,4,6,62,6.680322573,2020
1,0,1,0,1,2,3,3,3,6,62,6.789255437,2020
1,0,1,0,1,2,5,4,4,6,62,6.680322573,2020
1,0,1,0,1,2,3,2,3,6,62,6.789255437,2020
1,1,0,0,1,2,4,4,4,6,62,6.680322573,2020
1,0,0,1,1,2,2,3,2,6,62,6.680322573,2020
2, , , ,1,3,3,3,3,6,62,6.680322573,2020
2, , , ,1,3,4,3,3,6,62,6.680322573,2020
2, , , ,1,3,4,4,4,6,62,6.680322573,2020
2, , , ,1,3,4,4,4,6,62,6.789255437,2020
2, , , ,1,2,4,4,3,6,62,6.680322573,2020
2, , , ,1,3,4,3,3,6,62,6.680322573,2020
2, , , ,1,2,4,2,3,6,63,1.7949255,2020
1,1,0,0,2,1,4,4,4,6,63,1.7949255,2020
1,1,0,0,1,1,4,3,4,6,63,1.7949255,2020
1,0,1,0,1,2,5,4,3,6,63,1.7949255,2020
1,0,1,0,1,2,5,2,3,6,63,1.824194502,2020
1,0,1,0,1,2,4,4,3,6,63,1.824194502,2020
1,0,1,0,1,2,4,2,3,6,63,1.7949255,2020
1,0,1,0,1,2,4,3,2,6,63,1.7949255,2020
2, , , ,1,2,4,4,3,6,63,1.824194502,2020
1,0,1,0,1,2,4,2,2,6,63,1.7949255,2020
1,1,0,0,2,1,4,3,4,6,63,1.7949255,2020
2, , , ,1,3,4,4,3,6,63,1.824194502,2020
2, , , ,1,2,3,4,2,6,63,1.7949255,2020
2, , , ,1,2,4,4,3,99,63,1.593848441,2020
1,1,0,0,1,1,5,4,1,6,63,1.824194502,2020
2, , , ,1,2,3,2,1,6,63,1.7949255,2020
1,0,1,0,1,2,4,2,3,6,63,1.7949255,2020
1,0,0,1,1,2,4,3,3,7,71,45.06719054,2020
2, , , ,1,3,4,3,3,7,71,45.80207992,2020
1,0,0,1,1,2,5,4,5,7,71,45.06719054,2020
1,0,0,1,1,2,5,4,5,7,71,34.80324829,2020
1,0,0,1,2,2,4,3,3,7,71,45.80207992,2020
1,0,0,1,2,3,4,3,3,7,71,45.06719054,2020
1,0,0,1,1,2,4,4,4,7,71,45.06719054,2020
1,0,0,1,2,2,4,3,3,99,71,40.01852521,2020
1,0,0,1,2,3,5,5,5,7,71,35.37076841,2020
1,0,0,1,1,2,4,4,3,7,71,34.80324829,2020
1,0,0,1,1,2,4,3,3,7,71,34.80324829,2020
1,0,0,1,1,2,4,3,4,7,71,45.80207992,2020
1,0,0,1,1,2,4,3,3,7,71,45.80207992,2020
1,0,0,1,2,3,4,3,3,7,71,45.06719054,2020
2, , , ,1,3,4,3,3,7,72,4.917651306,2020
1,0,0,1,2,2,5,5,5,7,72,4.917651306,2020
1,0,0,1,2,3,5,5,5,99,72,4.366749965,2020
1,0,0,1,1,3,4,3,3,99,72,5.654562791,2020
1,0,0,1,1,2,5,5,5,99,72,4.997841122,2020
1,0,0,1,2,2,4,4,4,7,72,4.917651306,2020
1,0,0,1,2,2,5,5,5,7,73,1.372625013,2020
1,1,0,1,3,2,5,5,5,7,73,1.372625013,2020
1,0,1,1,3,2,4,4,4,99,73,1.218856291,2020
1,0,1,1,3,2,5,5,5,7,73,1.372625013,2020
2, , , ,1,3,4,3,3,99,81,27.1684766,2020
2, , , ,1,2,3,4,2,8,81,30.59600286,2020
2, , , ,1,2,4,2,3,8,82,6.500349838,2020
2, , , ,1,2,4,5,2,8,82,6.500349838,2020
